,ID,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std
119750,40066871.0,146.60389419999998,-19.296323,458383.9984688314,7866336.998002471,55.0,37.15876921695172,52.0,10.3,0.0
119753,40076187.0,150.94319479700002,-23.881340237,901648.053151689,7353309.294787986,56.0,63.29161946730728,50.0,4.9861538461538455,0.3946086369193673
119755,40012128.0,148.7593822,-28.069171700000002,672891.5568456338,6893885.796417692,55.0,200.07460122185574,931.8,-30.091999999999995,3.5077993101088323
119756,40015721.0,149.18591740000002,-24.5820305,721356.0002787153,7279575.000636479,55.0,198.80073505202552,362.4,-46.87916666666666,8.695527066959324
119759,40030859.0,150.33038290000002,-28.359714399999998,826459.4137099166,6858439.091488217,56.0,213.81449200000003,246.89,-9.97,2.4366370267235133
119765,40008140.0,149.97343180000001,-26.1188621,797356.3277522644,7107754.034603452,55.0,253.65784470702224,655.32,-11.45,4.900741440503331
119766,40009275.0,146.4903467,-28.0645043,449919.1020888581,6895547.3318041805,55.0,178.6584784553297,170.69,-15.36,9.557601686615737
119768,40012931.0,150.0011144,-25.41785359,801897.1273503415,7185386.909531748,56.0,210.5443835301028,60.96,-4.352857142857142,3.346587662021098
119769,40013088.0,149.62414669999998,-26.6414218,761230.8995518981,7050595.905586805,55.0,321.29896160812643,620.88,-5.11,0.8799999999999999
119781,40006655.0,150.5563108,-28.542121,848022.1697848311,6837576.815333635,56.0,230.91901555583993,430.0,-7.125000000000001,1.6676555399722088
119783,40141562.0,147.473317935,-19.54317032,549653.2345514809,7839001.566453764,55.0,5.680438400000052,10.97,2.1877557755775583,0.5719397655959437
119791,40141227.0,146.59540080000002,-19.3015821,457493.0043372938,7865752.999357457,55.0,41.431608000000736,42.7,16.746280991735535,2.743445421463269
119792,40141470.0,147.1408561,-19.5468674,514775.99840733584,7838654.999232939,55.0,9.40273200000128,27.95,8.054407894736842,3.1093777371958606
119793,40141607.0,147.474245536,-19.600268060999998,549733.0265400462,7832682.994220151,55.0,8.808439209809228,11.58,5.47190625,1.154887626009967
119794,40141621.0,147.475387413,-19.619888166,549846.7287218608,7830511.536745476,55.0,10.340090359999657,12.8,6.488603174603174,1.1730916761382473
119795,40141637.0,147.249987914,-19.64872604,526207.6249288504,7827370.680308698,55.0,15.674509277959766,48.77,10.45978417266187,0.638317784262925
119796,40141779.0,147.474276035,-19.600268060999998,549736.2249562482,7832682.985338878,55.0,8.806726998340887,72.55,5.451363636363636,1.042904142089184
119797,40141792.0,147.4870707,-19.609776699999998,551074.9952457725,7831626.999920613,55.0,8.690039222736692,69.0,4.748455284552847,0.7804856029779238
119798,40142207.0,147.15626559999998,-19.7192904,516374.99496298673,7819573.994426614,55.0,21.748127999998584,18.4,10.182945736434107,0.8475275514954292
119799,40142253.0,147.2002089,-19.525294,521004.9949845963,7841035.999345337,55.0,6.755990399039595,22.3,4.406857142857144,0.5382180727897857
119800,40142257.0,147.23849819999998,-19.526241600000002,525022.0026590261,7840926.002576394,55.0,5.606946857727604,60.9,3.017413793103448,0.4714268888532857
119801,40142355.0,147.3271378,-19.6427977,534296.9967420526,7828012.995492854,55.0,15.06608781587198,12.3,5.964788732394365,1.5306455042208011
119802,40142379.0,147.1453981,-19.8475962,515223.9981026313,7805376.994865056,55.0,31.052228000001698,19.8,11.277536231884055,0.22931786557060765
119803,40142428.0,147.1565096,-19.6561036,516406.9981494902,7826565.998294728,55.0,20.653499278337073,15.0,7.960129870129871,4.0447931876902805
119804,40142441.0,147.0769776,-19.767807,508064.0021550501,7814211.003941869,55.0,35.162216000003575,33.5,17.37761194029851,0.20183552896591733
119805,40142473.0,147.2827142,-19.651557500000003,529638.0042549119,7827051.997213462,55.0,13.584832155197727,36.0,7.790549450549449,0.3685309793212483
119806,40142554.0,147.20952130000003,-19.665402899999997,521962.9982349451,7825531.000375381,55.0,17.045043999999592,34.0,8.4671875,0.5948804206256498
119807,40142583.0,147.1397144,-19.637826500000003,514648.00223759166,7828589.998041224,55.0,19.194869669117185,29.6,12.398888888888884,0.6805299314903942
119808,40142588.0,147.1748025,-19.6178421,518328.9994533651,7830797.994510939,55.0,16.47630000000021,33.2,10.117692307692307,0.5129200544417432
119809,40142827.0,147.429152305,-19.643725369000002,544992.0357051297,7827886.612729134,55.0,12.001287456112616,24.99,5.518119658119658,1.7558911496079923
119810,40142892.0,147.235544034,-19.742059089,524679.0763238287,7817044.886398422,55.0,25.96577046771915,22.63,15.045449438202247,1.4045488180461956
119811,40142955.0,147.4640975,-19.6825927,548644.0032772915,7823576.005122539,55.0,8.0,34.5,1.8164912280701755,0.6477396358784644
119812,40143001.0,147.297218145,-19.713227915999997,531146.5951040846,7820225.131964888,55.0,23.349656104426483,14.1,3.611818181818182,0.6589625628591058
119813,40143726.0,147.324154304,-19.81122547,533948.6134423855,7809375.713364776,55.0,47.944965884657115,39.0,10.692191780821917,1.3938217359882386
119814,40143755.0,147.304709934,-19.774836688,531919.4448865595,7813406.234551229,55.0,38.78824219786855,19.6,6.883809523809523,1.0064875724816926
119815,40143776.0,147.279710339,-19.789836673,529297.889327347,7811750.880022352,55.0,31.542845231231627,21.0,10.542292993630573,1.8511848065604048
119816,40143787.0,147.303043247,-19.77261448,531745.2922652968,7813652.453813593,55.0,38.501556808405105,16.0,7.3428571428571425,1.0711854486064132
119817,40143864.0,147.2573794,-20.048734399999997,526915.0050006697,7783105.004111719,55.0,47.962600000000315,30.0,16.221578947368425,0.041455512984242514
119818,40143948.0,147.28359928700002,-19.820947702,529699.4607848012,7808307.497899253,55.0,31.545638679998945,16.8,3.733636363636364,0.7804440002111392
119819,40143953.0,147.285821467,-19.824558802000002,529931.5003617163,7807907.505535356,55.0,32.24563228000103,20.0,3.517692307692308,0.4177476943020447
119820,40144210.0,146.8647222,-21.53694444,485991.6247901114,7618419.292607034,55.0,182.3155534577771,19.8,8.811052631578947,0.1615352246689998
119821,40144301.0,148.15553313,-20.045944009,620846.0077344573,7783016.770499856,55.0,16.212744373877012,22.25,11.473787234042554,1.2673969459330547
119822,40144343.0,148.206921228,-19.990110683,626265.3564199694,7789158.368534541,55.0,6.9628508144404115,27.43,3.3195294117647056,1.029297768477991
119823,40144442.0,148.135874959,-20.052512304,618784.999512823,7782303.903489067,55.0,17.641666023135304,26.2,8.75398734177215,1.4365574796174474
119824,40144448.0,148.141367705,-19.995913394000002,619402.2009918547,7788564.199338863,55.0,6.1005726399993625,21.0,4.946748466257668,0.5399771449782617
119825,40144706.0,147.5527331,-19.8611308,557870.0014001192,7803791.002615199,55.0,35.25289644595378,44.5,18.65576271186441,2.937679935139541
119826,40144728.0,147.593873113,-19.835113488,562187.5228996691,7806655.505892708,55.0,15.031320446934252,30.0,12.358214285714284,1.379072031609425
